EEG1, EEG2, EEG3, EEG4, EEG5, Eyes
913.8461,860.2564,842.9304,900.9524,893.6996,0
892.4908,861.0623,846.1539,873.1502,888.8644,0
823.5897,863.0769,853.8095,813.5165,823.9927,0
823.5897,864.2857,844.9451,816.7399,852.1978,0
869.9268,858.6447,845.7509,862.2711,826.4103,0
911.4286,853.4066,851.392,902.967,923.9194,0
898.5348,860.2564,848.5714,883.2234,946.0806,0
831.6484,869.5238,851.7949,815.9341,870.7326,0
819.1575,864.6887,849.7802,809.0842,826.4103,0
861.4652,859.0476,843.3333,858.2418,783.6996,0
919.0842,862.2711,840.9158,913.0403,863.4799,0
916.2637,867.1062,847.7656,905.3846,911.0256,0
851.392,871.5385,861.8681,842.9304,805.4579,0
831.6484,868.315,859.0476,834.4689,764.7619,0
866.3004,865.0916,842.9304,872.3443,797.8022,0
922.7106,865.8975,832.0513,913.0403,896.5201,0
929.1575,870.3297,838.9011,906.1905,917.0696,0
869.1208,872.3443,854.2125,853.8095,803.8461,0
838.0952,870.3297,855.8242,826.0073,822.381,0
865.8975,867.1062,848.5714,844.5421,838.4982,0
926.337,863.4799,841.7216,903.7729,902.967,0
936.0073,869.1208,841.7216,908.608,953.7363,0
871.5385,874.7619,848.9744,842.9304,843.7363,0
832.8571,874.7619,853.4066,815.9341,820.7692,0
853.4066,870.7326,846.5568,844.1392,829.6337,0
912.6374,867.9121,836.8865,892.8938,847.7656,0
935.6044,872.7473,841.3187,908.2051,925.1282,0
879.1942,875.1649,853.4066,856.6301,869.9268,0
834.8718,873.1502,861.0623,824.7985,800.6227,0
852.1978,871.1356,853.0037,850.5861,813.9194,0
908.2051,869.9268,840.5128,900.5494,867.5092,0
933.9927,872.7473,840.9158,917.0696,945.2747,0
882.0146,877.9854,852.1978,872.7473,915.8608,0
826.8132,877.9854,857.4359,828.4249,841.7216,0
834.8718,870.3297,854.2125,841.7216,844.1392,0
885.6411,864.6887,844.5421,890.4762,898.5348,0
920.696,866.7033,840.1099,918.6813,926.337,0
884.8351,874.3589,851.7949,878.3883,885.6411,0
823.5897,874.3589,858.2418,816.337,855.8242,0
824.3956,865.8975,851.392,828.8278,844.9451,0
875.9707,862.2711,848.1685,877.5824,807.0696,0
918.6813,867.5092,846.5568,904.9817,900.1465,0
889.6703,871.1356,850.1832,875.5677,903.3699,0
812.3077,866.3004,858.2418,809.4872,818.3516,0
813.9194,867.9121,857.4359,812.7106,855.4213,0
877.9854,875.1649,846.5568,870.3297,831.6484,0
922.3077,876.3736,840.1099,907.3993,917.4725,0
897.326,875.1649,849.7802,876.7766,933.5897,0
828.4249,877.1795,857.4359,813.9194,850.1832,0
819.5604,874.3589,850.5861,814.3223,836.4835,0
859.8535,865.8975,843.7363,852.6007,816.337,0
908.2051,863.8828,838.4982,892.0879,917.0696,0
899.3406,869.5238,846.1539,880.8058,913.4432,0
834.4689,871.5385,861.8681,823.9927,828.8278,0
813.5165,864.2857,862.2711,813.1135,877.9854,0
847.3626,862.674,855.0183,856.6301,803.0403,0
904.5787,866.7033,846.5568,904.1758,830.4396,0
902.5641,870.7326,851.392,891.282,956.5568,0
834.8718,872.3443,866.3004,834.4689,873.1502,0
806.2637,865.8975,863.0769,813.9194,808.2784,0
834.8718,864.6887,855.4213,844.5421,784.5055,0
885.6411,866.3004,843.3333,886.4469,846.9597,0
889.2674,864.6887,847.3626,882.0146,921.0989,0
844.5421,883.6264,875.5677,834.8718,819.1575,0
819.9634,891.685,866.3004,811.0989,800.2198,0
846.1539,875.9707,860.2564,842.5275,847.3626,0
900.1465,872.3443,859.4506,885.2381,899.3406,0
894.9084,872.3443,847.3626,871.1356,960.5861,0
832.8571,876.7766,862.674,816.7399,861.8681,0
802.6374,889.6703,886.0439,794.5787,820.7692,0
802.2344,880.403,878.3883,799.011,858.6447,0
847.3626,873.1502,864.6887,837.6923,848.9744,0
869.9268,887.2527,873.5531,849.3773,891.685,0
794.1758,889.6703,884.8351,780.4762,851.392,0
739.7802,894.1025,897.7289,736.1539,796.9963,0
749.8535,892.8938,898.5348,748.2418,809.0842,0
782.4908,883.2234,886.0439,777.6557,864.6887,0
809.0842,891.282,888.4615,795.7875,932.381,0
757.1062,902.1612,893.2967,742.1978,911.0256,0
693.4432,911.4286,898.5348,690.2198,842.1245,0
686.9963,900.5494,894.9084,690.2198,830.0366,0
719.6337,894.5055,878.3883,713.5897,865.0916,0
755.0916,908.608,877.5824,743.8095,937.2161,0
715.2015,915.4579,891.282,704.3223,883.6264,0
652.7473,921.0989,897.326,646.3004,834.4689,0
657.9854,917.4725,891.685,657.1795,870.7326,0
705.9341,911.0256,885.2381,708.7546,820.7692,0
749.4506,908.608,880.8058,749.8535,887.2527,0
735.348,913.0403,889.6703,727.2894,912.6374,0
678.9377,917.0696,895.7143,677.7289,826.4103,0
686.1905,912.6374,891.685,698.6813,805.8608,0
739.7802,907.3993,884.4323,742.6007,852.1978,0
797.3993,907.3993,875.9707,782.8938,965.8242,0
791.7582,909.8168,880.403,775.2381,948.0952,0
734.1392,911.8315,892.4908,723.663,865.0916,0
721.2454,906.9963,889.2674,721.2454,881.6117,0
761.5385,899.3406,880.403,760.7326,833.663,0
819.5604,893.2967,868.718,815.5311,863.4799,0
815.1282,892.4908,867.9121,805.8608,914.2491,0
753.0769,893.2967,878.7912,741.7949,841.3187,0
733.7363,887.6557,874.7619,731.7216,871.9414,0
775.6411,884.4323,865.8975,774.4323,837.2894,0
839.707,885.2381,854.6154,834.0659,896.1172,0
846.5568,886.4469,850.5861,832.4542,952.5275,0
789.7436,885.6411,862.2711,777.6557,850.5861,0
772.0146,885.2381,864.6887,779.6703,807.8755,0
810.696,883.2234,854.6154,823.5897,796.1905,0
875.5677,876.7766,844.1392,874.7619,887.2527,0
890.4762,875.5677,840.9158,881.6117,931.978,0
838.4982,876.3736,843.7363,830.0366,825.6044,0
811.9048,872.3443,845.7509,811.0989,844.5421,0
845.348,869.9268,844.1392,848.5714,820.7692,0
913.8461,869.9268,837.6923,913.0403,827.2161,0
942.8571,872.7473,840.5128,935.6044,917.4725,0
892.0879,876.7766,851.7949,880.403,888.4615,0
849.3773,875.5677,859.4506,836.8865,843.7363,0
861.4652,869.1208,854.6154,854.2125,835.2747,0
911.0256,862.674,844.9451,905.3846,800.6227,0
939.2308,869.5238,846.1539,929.5604,904.1758,0
889.2674,878.3883,856.2271,877.1795,892.8938,0
836.8865,876.3736,865.0916,828.8278,793.3699,0
848.1685,871.5385,858.2418,843.7363,816.337,0
897.326,872.3443,848.9744,895.3113,805.4579,0
932.7839,875.5677,849.7802,925.1282,894.5055,0
895.3113,877.1795,860.2564,880,886.4469,0
835.6777,874.7619,869.5238,824.3956,806.2637,0
838.4982,872.3443,863.8828,835.2747,862.2711,0
886.4469,869.1208,854.6154,884.4323,873.1502,0
932.381,869.9268,851.7949,915.4579,897.7289,0
909.8168,876.3736,858.6447,890.8792,868.315,0
843.3333,877.9854,864.2857,832.8571,802.6374,0
838.9011,871.5385,861.0623,834.8718,792.967,0
887.2527,867.1062,851.7949,884.8351,790.5494,0
932.7839,869.9268,844.5421,916.2637,885.6411,0
906.5934,871.5385,848.5714,886.4469,902.1612,0
836.4835,870.3297,856.2271,826.8132,801.4286,0
829.6337,866.7033,854.2125,824.7985,782.0879,0
869.1208,864.2857,846.5568,863.8828,805.8608,0
919.4872,865.8975,839.304,911.0256,912.2344,0
910.6227,865.4945,839.707,897.326,932.381,0
840.5128,863.0769,852.1978,830.4396,830.8425,0
830.0366,862.2711,855.8242,825.2015,770.403,0
864.6887,857.8388,844.1392,865.4945,786.1172,0
912.6374,854.2125,833.663,905.7875,887.6557,0
915.0549,862.2711,834.0659,902.5641,909.011,0
855.8242,868.315,844.1392,841.7216,853.4066,0
837.6923,865.4945,848.9744,819.1575,841.3187,0
872.7473,864.2857,842.1245,860.2564,828.022,0
934.7985,869.9268,839.707,918.6813,887.2527,0
936.8132,875.1649,848.5714,926.7399,924.3223,0
856.6301,865.8975,846.1539,859.4506,868.718,0
809.4872,850.989,832.0513,812.7106,815.9341,0
832.0513,841.3187,814.7253,836.0806,807.8755,0
887.2527,831.6484,795.7875,886.4469,878.3883,0
