Alpha, Beta, Eyes
0.4778845,0.04382564,0
0.4512621,0.04647969,0
0.4516305,0.05405978,0
0.4912037,0.05996245,0
0.4749796,0.04571678,0
0.4486308,0.03736264,0
0.4171559,0.03678086,0
0.411947,0.04426278,0
0.4453702,0.060906,0
0.4405379,0.067717,0
0.4339879,0.07561133,0
0.4161166,0.08589721,0
0.3970812,0.1014181,0
0.3839665,0.1232329,0
0.3795035,0.1498339,0
0.3765798,0.1537146,0
0.3754404,0.161808,0
0.3751859,0.1747046,0
0.3735236,0.1906687,0
0.3719559,0.2072497,0
0.3719559,0.2072497,0
0.3719559,0.2072497,0
0.3719559,0.2072497,0
0.3719559,0.2072497,0
0.3719559,0.2072497,0
0.3719559,0.2072497,0
0.3719559,0.2072497,0
0.3719559,0.2072497,0
0.3719559,0.2072497,0
0.3719559,0.2072497,0
0.3719559,0.2072497,0
0.3719559,0.2072497,0
0.4139098,0.1218784,0
0.445899,0.1023558,0
0.4583826,0.08240099,0
0.4619165,0.06663734,0
0.4663834,0.05578997,0
0.4733931,0.04731472,0
0.4790943,0.04099041,0
0.5009333,0.039969,0
0.5323199,0.04441707,0
0.5581586,0.05032359,0
0.5787134,0.05503451,0
0.5980707,0.05954312,0
0.6106171,0.0552582,0
0.6215515,0.06213035,0
0.6246543,0.07355795,0
0.6126923,0.08774208,0
0.6039026,0.1051251,0
0.5935948,0.1250883,0
0.5872592,0.1447911,0
0.5905877,0.161853,0
0.5932628,0.1745597,0
0.5904199,0.1811661,0
0.5838122,0.1811699,0
0.5784234,0.1772821,0
0.5674122,0.17459,0
0.5438433,0.1750451,0
0.5289788,0.1748235,0
0.5412102,0.1683803,0
0.5524395,0.1553654,0
0.5472751,0.1408685,0
0.5283307,0.1288864,0
0.5275253,0.1191898,0
0.5367607,0.1099985,0
0.5423948,0.1002464,0
0.5389956,0.08993623,0
0.5293387,0.08073616,0
0.5102537,0.07597712,0
0.4877118,0.07731491,0
0.4727186,0.08154902,0
0.4675964,0.08242267,0
0.4688198,0.0770514,0
0.4765498,0.06767794,0
0.4854824,0.05761556,0
0.4793127,0.04804447,0
0.4631594,0.03779202,0
0.4346814,0.02661037,0
0.3851725,0.01532512,0
0.3671472,0.003619347,0
0.3419249,-0.009157153,0
0.3279469,-0.02197791,0
0.3216601,-0.03206744,0
0.3240533,-0.03716779,0
0.3195544,-0.03733129,0
0.3250043,-0.0341512,0
0.3418382,-0.02861984,0
0.3495651,-0.02188728,0
0.3524001,-0.01459937,0
0.3489642,-0.007064955,0
0.3455591,-0.0002590106,1
0.3425158,0.004384377,1
0.4169457,0.02909577,1
0.4123545,0.03207532,1
0.4003224,0.03565495,1
0.3926575,0.04315804,1
0.3918607,0.05560562,1
0.3855798,0.07038604,1
0.3728238,0.08257467,1
0.3635104,0.08830693,1
0.3590106,0.08708202,1
0.3426186,0.08053084,1
0.2980895,0.07190946,1
0.2413259,0.06605387,1
0.2601287,0.07614573,1
0.26844,0.08356335,1
0.2797241,0.09397984,1
0.2820167,0.1067357,1
0.3113943,0.1643231,1
0.3520655,0.241036,1
0.3966703,0.2401107,1
0.4421003,0.2366955,1
0.4753067,0.231233,1
0.4836212,0.2246046,1
0.486993,0.2178856,1
0.4875017,0.2117704,1
0.4875017,0.2064558,1
0.4875017,0.2009353,1
0.4875017,0.194809,1
0.4954533,0.1703881,1
0.5060605,0.1335894,1
0.5131569,0.1031675,1
0.5208604,0.0738277,1
0.518767,0.038372,1
0.3913014,-0.02758292,1
0.3895449,-0.03137066,1
0.3905568,-0.03713045,1
0.395204,-0.04251248,1
0.3857233,-0.04395398,1
0.3483868,-0.04135564,1
0.3084906,-0.03810826,1
0.2860108,-0.03662388,1
0.2853255,-0.03394128,1
0.2883378,-0.02580057,1
0.2881689,-0.009674803,1
0.2957376,0.008444325,1
0.3021485,0.01955611,1
0.2975222,0.02240028,1
0.2638917,0.02188979,1
0.2068466,0.02388461,1
0.194128,0.03187242,1
0.2023851,0.04511753,1
0.2108978,0.06138354,1
0.2209691,0.07789551,1
0.2296892,0.09390765,1
0.2305034,0.1095839,1
0.2280494,0.1248375,1
0.212999,0.1383715,1
0.1985929,0.147539,1
0.1962337,0.1520687,1
0.196952,0.1532652,1
0.1966611,0.1534803,1
0.2013891,0.1537408,1
0.1947683,0.153378,1
0.1847779,0.1507195,1
0.1824651,0.1445048,1
0.2001576,0.1350835,1
0.2392049,0.1237267,1
0.2706142,0.1121724,1
0.2849208,0.1010342,0
0.2982542,0.09107018,0
0.2747454,0.07964233,0
0.2538753,0.06619746,0
0.2460827,0.05153064,0
0.2412612,0.03698738,0
0.2398557,0.02542102,0
0.236362,0.0186609,0
0.2274786,0.01720124,0
